category,word,dic,obt
Microorganism,E. coli,NCBI_Taxonomy,562
Phenotype,Nitrogenase activity,OntoBiotope,000019
Microorganism,Anabaena,NCBI_Taxonomy,29412
Microorganism,L-31,NCBI_Taxonomy,29412
Microorganism,E. coli,NCBI_Taxonomy,562
Phenotype,thermotolerance,OntoBiotope,002290
Microorganism,Campylobacter,NCBI_Taxonomy,194
Phenotype,human gastrointestinal pathogen,OntoBiotope,002806
Habitat,human,OntoBiotope,002488
Habitat,human gastrointestinal,OntoBiotope,000641
Microorganism,Campylobacter jejuni,NCBI_Taxonomy,197
Microorganism,C. jejuni,NCBI_Taxonomy,197
Microorganism,Campylobacter coli,NCBI_Taxonomy,195
Microorganism,Campylobacter,NCBI_Taxonomy,194
Habitat,food,OntoBiotope,000094
Habitat,red algal,OntoBiotope,002758
Habitat,marine,OntoBiotope,000338
Microorganism,Zobellia galactanivorans Dsij,NCBI_Taxonomy,63186
Microorganism,Escherichia coli,NCBI_Taxonomy,562
Microorganism,Z. galactanivorans Dsij,NCBI_Taxonomy,63186
Microorganism,Xanthomonas campestris pv. vesicatoria,NCBI_Taxonomy,456327
Phenotype,Pathogenicity,OntoBiotope,000375
Phenotype,gram-negative,OntoBiotope,000648
Habitat,plant,OntoBiotope,000393
Phenotype,plant pathogen,OntoBiotope,002732
Microorganism,Xanthomonas campestris pv. vesicatoria,NCBI_Taxonomy,456327
Phenotype,type III secretion,OntoBiotope,000019
Habitat,plant cell,OntoBiotope,000061
Habitat,plant cell,OntoBiotope,000395
Habitat,plant,OntoBiotope,000393
Phenotype,virulence,OntoBiotope,000375
Microorganism,Xanthomonas,NCBI_Taxonomy,456327
Habitat,plant cell,OntoBiotope,000395
Habitat,plant cell,OntoBiotope,000061
Habitat,plant,OntoBiotope,000393
Habitat,plant,OntoBiotope,000393
Phenotype,plant pathogenic,OntoBiotope,002732
Habitat,animal,OntoBiotope,000193
Phenotype,animal pathogenic,OntoBiotope,002669
Phenotype,pathogenicity,OntoBiotope,000375
Microorganism,Xanthomonas,NCBI_Taxonomy,338
Microorganism,Pseudomonas syringae pv. maculicola,NCBI_Taxonomy,59511
Microorganism,X. campestris pv. vesicatoria,NCBI_Taxonomy,456327
Phenotype,function as transglycosylase,OntoBiotope,000019
Phenotype,Attachment,OntoBiotope,000029
Microorganism,Escherichia coli O157:H7,NCBI_Taxonomy,83334
Habitat,tryptic soy broth,OntoBiotope,000360
Habitat,soy,OntoBiotope,003304
Habitat,nutrient broth,OntoBiotope,000360
Habitat,apple surfaces,OntoBiotope,000902
Habitat,apple,OntoBiotope,002341
Habitat,lettuce surfaces,OntoBiotope,000902
Habitat,lettuce,OntoBiotope,002506
Habitat,cell,OntoBiotope,000061
Phenotype,capsule production,OntoBiotope,000614
Habitat,tryptic soy broth,OntoBiotope,000360
Habitat,soy,OntoBiotope,003304
Habitat,TSB,OntoBiotope,000360
Habitat,nutrient broth,OntoBiotope,000360
Habitat,NB,OntoBiotope,000360
Phenotype,ability to attach,OntoBiotope,000029
Microorganism,Escherichia coli O157:H7,NCBI_Taxonomy,83334
Habitat,lettuce,OntoBiotope,002506
Habitat,lettuce surfaces,OntoBiotope,000902
Habitat,apple,OntoBiotope,002341
Habitat,apple surfaces,OntoBiotope,000902
Habitat,cell,OntoBiotope,000061
Phenotype,capsule production,OntoBiotope,000614
Habitat,NB,OntoBiotope,000360
Habitat,lettuce,OntoBiotope,002506
Habitat,lettuce surfaces,OntoBiotope,000902
Habitat,apple,OntoBiotope,002341
Habitat,apple surfaces,OntoBiotope,000902
Habitat,TSB,OntoBiotope,000360
Habitat,TSB,OntoBiotope,000360
Habitat,NB,OntoBiotope,000360
Phenotype,capsule production,OntoBiotope,000614
Microorganism,E. coli O157:H7,NCBI_Taxonomy,83334
Habitat,TSB,OntoBiotope,000360
Habitat,NB,OntoBiotope,000360
Phenotype,attachment,OntoBiotope,000029
Microorganism,E. coli O157:H7,NCBI_Taxonomy,83334
Phenotype,capsule production,OntoBiotope,000614
Phenotype,attachment ability,OntoBiotope,000029
Microorganism,Lactobacillus gasseri K 7,NCBI_Taxonomy,1334627
Microorganism,Escherichia coli,NCBI_Taxonomy,562
Phenotype,adhesion,OntoBiotope,000029
Habitat,Caco-2 cells,OntoBiotope,000062
Habitat,Caco-2 cells,OntoBiotope,000268
Habitat,pigs' jejunal tissue,OntoBiotope,002993
Habitat,pigs,OntoBiotope,003337
Habitat,jejunal,OntoBiotope,001605
Microorganism,Lactobacillus (Lb.) gasseri K 7,NCBI_Taxonomy,1334627
Phenotype,adhesion,OntoBiotope,000029
Microorganism,Escherichia coli O8:K88,NCBI_Taxonomy,1010796
Habitat,intestinal mucosa,OntoBiotope,002993
Habitat,intestinal,OntoBiotope,002810
Habitat,cultured Caco-2 cells,OntoBiotope,000062
Habitat,cultured Caco-2 cells,OntoBiotope,000268
Habitat,pigs' small intestinal tissue,OntoBiotope,002993
Habitat,pigs,OntoBiotope,003337
Habitat,small intestinal,OntoBiotope,003303
Microorganism,Lactobacilli,NCBI_Taxonomy,1334627
Microorganism,E. coli,NCBI_Taxonomy,1010796
Microorganism,E. coli,NCBI_Taxonomy,1010796
Microorganism,E. coli,NCBI_Taxonomy,1010796
Microorganism,lactobacilli,NCBI_Taxonomy,1334627
Habitat,fully differentiated Caco-2 cells,OntoBiotope,000061
Microorganism,E. coli,NCBI_Taxonomy,1010796
Microorganism,E. coli,NCBI_Taxonomy,1010796
Habitat,Caco-2,OntoBiotope,000061
Microorganism,E. coli,NCBI_Taxonomy,1010796
Phenotype,adhesion,OntoBiotope,000029
Microorganism,Lb. gasseri K 7,NCBI_Taxonomy,1334627
Phenotype,binding,OntoBiotope,000029
Microorganism,E. coli,NCBI_Taxonomy,1010796
Microorganism,lactobacilli,NCBI_Taxonomy,1334627
Microorganism,E. coli,NCBI_Taxonomy,1010796
Microorganism,E. coli,NCBI_Taxonomy,1010796
Microorganism,lactobacilli,NCBI_Taxonomy,1334627
Phenotype,adhesion,OntoBiotope,000029
Habitat,tissue derived from pigs' jejunum,OntoBiotope,002993
Habitat,pigs' jejunum,OntoBiotope,001605
Habitat,pigs,OntoBiotope,003337
Microorganism,E. coli,NCBI_Taxonomy,1010796
Microorganism,Lb. gasseri K 7,NCBI_Taxonomy,1334627
Phenotype,adhesion,OntoBiotope,000029
Microorganism,E. coli,NCBI_Taxonomy,1010796
Microorganism,Lb. gasseri K 7,NCBI_Taxonomy,1334627
Habitat,jejunal,OntoBiotope,001605
Habitat,jejunal mucosa,OntoBiotope,002993
Microorganism,E. coli,NCBI_Taxonomy,1010796
Microorganism,lactobacilli,NCBI_Taxonomy,1334627
Habitat,jejunal,OntoBiotope,001605
Habitat,jejunal tissue,OntoBiotope,002993
Microorganism,Lb. gasseri K 7,NCBI_Taxonomy,1334627
Microorganism,E. coli,NCBI_Taxonomy,1010796
Phenotype,adhesion,OntoBiotope,000029
Habitat,Caco-2 enterocytes,OntoBiotope,000268
Habitat,pig jejunal tissue,OntoBiotope,000196
Habitat,pig jejunal tissue,OntoBiotope,002993
Habitat,pig,OntoBiotope,003337
Habitat,jejunal,OntoBiotope,001605
Paragraph,": A GASP network of laboratories was launched in the Americas and the Caribbean during the 1990s. Standardized methods and interpretative criteria were established for the isolation of N. gonorrhoeae, strain identification, and determination, and quality control of antimicrobial susceptibility.",,
Paragraph,": Two countries (Argentina and Uruguay) maintained continuous surveillance during the study period. Some countries gathered data periodically and several others were unable to initiate antimicrobial surveillance as a result of lack of resources. The percentage of penicillin-resistant N. gonorrhoeae isolated in the region over the decade varied considerably (1.0-11.9% carried chromosomal resistance and 17.9-38.8% produced beta-lactamase) with an overall trend to declining numbers of penicillin-resistant isolates. For tetracycline, 7.4% to 36.3% carried chromosomal resistance, whereas 12.0% to 27.4% carried plasmid-mediated resistance. There were no reports of ciprofloxacin-resistant isolates, although N. gonorrhoeae with decreased susceptibility to ciprofloxacin and azithromycin as well as spectinomycin-resistant isolates were identified in some countries.",,
Phenotype,resistance to antibiotics,OntoBiotope,002674
Phenotype,antimicrobial susceptibility,OntoBiotope,002338
Microorganism,Neisseria gonorrhoeae,NCBI_Taxonomy,485
Habitat,laboratories,OntoBiotope,001169
Microorganism,N. gonorrhoeae,NCBI_Taxonomy,485
Phenotype,antimicrobial susceptibility,OntoBiotope,002338
Phenotype,penicillin-resistant,OntoBiotope,002829
Microorganism,N. gonorrhoeae,NCBI_Taxonomy,485
Phenotype,resistance,OntoBiotope,002829
Phenotype,penicillin-resistant,OntoBiotope,002829
Phenotype,resistance,OntoBiotope,002869
Phenotype,resistance,OntoBiotope,002869
Phenotype,ciprofloxacin-resistant,OntoBiotope,002773
Microorganism,N. gonorrhoeae,NCBI_Taxonomy,485
Phenotype,decreased susceptibility to azithromycin,OntoBiotope,002864
Phenotype,decreased susceptibility to ciprofloxacin,OntoBiotope,002774
Phenotype,spectinomycin-resistant,OntoBiotope,002857
Habitat,frog,OntoBiotope,003052
Habitat,food,OntoBiotope,000094
Phenotype,pathogen,OntoBiotope,000375
Microorganism,Escherichia coli O157:H7,NCBI_Taxonomy,83334
Habitat,commercial apple juice,OntoBiotope,003575
Phenotype,pathogens,OntoBiotope,000375
Phenotype,type III secretion,OntoBiotope,000019
Microorganism,Escherichia coli O157,NCBI_Taxonomy,1045010
Microorganism,lambdoid phages,NCBI_Taxonomy,186765
Phenotype,pathogenic,OntoBiotope,002806
Microorganism,Escherichia coli,NCBI_Taxonomy,562
Phenotype,type III secretion,OntoBiotope,000019
Habitat,human cells,OntoBiotope,000061
Habitat,human,OntoBiotope,002488
Habitat,eukaryotic cell,OntoBiotope,000061
Microorganism,Sakai,NCBI_Taxonomy,386585
Phenotype,enterohemorrhagic,OntoBiotope,002806
Microorganism,E. coli (EHEC) O157:H7,NCBI_Taxonomy,83334
Phenotype,EHEC,OntoBiotope,002806
Phenotype,EHEC,OntoBiotope,002806
Microorganism,EHEC,NCBI_Taxonomy,386585
Microorganism,Sakai,NCBI_Taxonomy,386585
Phenotype,EHEC,OntoBiotope,002806
Microorganism,EHEC,NCBI_Taxonomy,562
Phenotype,plant pathogens,OntoBiotope,002732
Habitat,plant,OntoBiotope,000393
Microorganism,Shigella,NCBI_Taxonomy,620
Microorganism,lambdoid prophages,NCBI_Taxonomy,186765
Phenotype,type III secretion,OntoBiotope,000019
Microorganism,E. coli,NCBI_Taxonomy,562
Phenotype,pathogenicity,OntoBiotope,002806
Phenotype,Quorum-sensing,OntoBiotope,000143
Phenotype,adhesion,OntoBiotope,000029
Microorganism,Serratia marcescens MG1,NCBI_Taxonomy,615
Microorganism,Serratia marcescens,NCBI_Taxonomy,615
Phenotype,opportunistic pathogen,OntoBiotope,000776
Habitat,ocular,OntoBiotope,000627
Microorganism,S. marcescens MG1,NCBI_Taxonomy,615
Habitat,biofilm,OntoBiotope,000054
Phenotype,biofilm maturation,OntoBiotope,001444
Phenotype,N-acyl homoserine lactone (AHL)-based quorum sensing,OntoBiotope,000143
Phenotype,QS,OntoBiotope,000143
Phenotype,adhesion,OntoBiotope,000029
Habitat,biofilm,OntoBiotope,000054
Phenotype,biofilm formation,OntoBiotope,001444
Phenotype,QS,OntoBiotope,000143
Phenotype,adhesion,OntoBiotope,000029
Habitat,abiotic surfaces,OntoBiotope,000007
Habitat,biotic surfaces,OntoBiotope,000007
Phenotype,attachment,OntoBiotope,000029
Habitat,hydrophilic tissue culture plates,OntoBiotope,000103
Habitat,hydrophilic tissue culture,OntoBiotope,000062
Habitat,human corneal epithelial (HCE) cells,OntoBiotope,000061
Habitat,human,OntoBiotope,002488
Habitat,corneal,OntoBiotope,000573
Habitat,epithelial,OntoBiotope,001091
Phenotype,adhesion,OntoBiotope,000029
Habitat,abiotic surface,OntoBiotope,000007
Phenotype,adhesion,OntoBiotope,000029
Habitat,HCE cell,OntoBiotope,000061
Habitat,HCE cell biotic surface,OntoBiotope,000062
Phenotype,QS,OntoBiotope,000143
Phenotype,attachment,OntoBiotope,000029
Habitat,biotic HCE cell surface,OntoBiotope,000062
Habitat,HCE cell,OntoBiotope,000061
Phenotype,adhesion,OntoBiotope,000029
Habitat,abiotic surface,OntoBiotope,000007
Phenotype,QS,OntoBiotope,000143
Phenotype,attachment,OntoBiotope,000029
Habitat,abiotic surface,OntoBiotope,000007
Phenotype,adhesion,OntoBiotope,000029
Habitat,abiotic surface,OntoBiotope,000007
Phenotype,adhesion,OntoBiotope,000029
Habitat,biotic surface,OntoBiotope,000062
Phenotype,QS,OntoBiotope,000143
Phenotype,QS,OntoBiotope,000143
Phenotype,attachment,OntoBiotope,000029
Habitat,HCE cells,OntoBiotope,000061
Phenotype,QS,OntoBiotope,000143
Microorganism,S. marcescens,NCBI_Taxonomy,615
Microorganism,S. marcescens MG1,NCBI_Taxonomy,615
Phenotype,attachment,OntoBiotope,000029
Habitat,biotic surfaces,OntoBiotope,000062
Habitat,abiotic surfaces,OntoBiotope,000007
Phenotype,QS,OntoBiotope,000143
Phenotype,adhesion,OntoBiotope,000029
Habitat,abiotic surface,OntoBiotope,000007
Phenotype,adhesion,OntoBiotope,000029
Habitat,biotic surface,OntoBiotope,000062
Microorganism,Streptococcus pneumoniae,NCBI_Taxonomy,1313
Phenotype,bacterial pathogenesis,OntoBiotope,000375
Phenotype,virulence,OntoBiotope,000375
Microorganism,Streptococcus pneumoniae,NCBI_Taxonomy,1313
Phenotype,Gram-positive,OntoBiotope,000649
Phenotype,virulence,OntoBiotope,000375
Paragraph,"Patients admitted to the trauma intensive care unit (TICU) from January, 2001 through December, 2004 with blunt, non-operative traumatic brain injury who were managed solely with an ICP monitor were identified from our trauma registry and divided into two groups: (1) Those receiving no antibiotics prior to or during ICP monitoring (NONE; n = 71); and (2) those already receiving antibiotics at the time of ICP monitor insertion (PRO; n = 84). Groups were stratified on the basis of age, Injury Severity Score (ISS), Glasgow Coma Scale (GCS) Score, base excess (BE), ICP days, transfusions in 24 h, ICU days, ventilator days, head Abbreviated Injury Score (AIS), and chest AIS. The study groups did not differ with respect to age, ISS, GCS, BE, ICP days, 24-h transfusions, ICU days, ventilator days, head AIS, or length of stay. In all, 183 patients were identified, of whom 28 died within seven days and were excluded from the analysis. All patients were followed until discharge for both CNS infections and subsequent infectious complications.",,
Paragraph,"Only two patients, both in the PRO group, developed CNS infection. Both infectious complications (0.7 vs 1.4 per patient; p < 0.05) and infections secondary to MDR pathogens (0.03 vs. 0.33 per patient; p < 0.01) were significantly more common in the PRO group. Twenty-nine percent of the ventilator-associated pneumonias and 33% of the blood stream infections in the PRO group were MDR, whereas only two blood stream infections in the NONE group (4% of the total infections) were MDR.",,
Paragraph,The routine use of prophylactic antibiotics for ICP monitor insertion is not warranted. This practice does not reduce the CNS infection rate and is associated with more MDR pathogens in any subsequent infectious complications.,,
Habitat,central nervous system,OntoBiotope,001028
Phenotype,multi-drug resistance,OntoBiotope,000598
Habitat,patients,OntoBiotope,003220
Habitat,injuries,OntoBiotope,000970
Habitat,open fractures,OntoBiotope,000526
Habitat,facial fractures,OntoBiotope,000526
Habitat,facial,OntoBiotope,001142
Habitat,central nervous system,OntoBiotope,001028
Habitat,CNS,OntoBiotope,001028
Phenotype,multi-drug resistant,OntoBiotope,000598
Phenotype,MDR,OntoBiotope,000598
Habitat,Patients,OntoBiotope,003220
Habitat,trauma intensive care unit,OntoBiotope,000328
Habitat,TICU,OntoBiotope,000328
Habitat,brain,OntoBiotope,002689
Habitat,brain injury,OntoBiotope,000970
Habitat,ICU,OntoBiotope,000328
Habitat,ICU,OntoBiotope,000328
Habitat,patients,OntoBiotope,003220
Habitat,patients,OntoBiotope,003220
Habitat,CNS,OntoBiotope,001028
Habitat,patients,OntoBiotope,003220
Habitat,CNS,OntoBiotope,001028
Habitat,patient,OntoBiotope,003220
Phenotype,MDR,OntoBiotope,000598
Phenotype,pathogens,OntoBiotope,000375
Habitat,patient,OntoBiotope,003220
Habitat,blood stream,OntoBiotope,000521
Phenotype,MDR,OntoBiotope,000598
Habitat,blood stream,OntoBiotope,000521
Phenotype,MDR,OntoBiotope,000598
Habitat,CNS,OntoBiotope,001028
Phenotype,MDR,OntoBiotope,000598
Phenotype,pathogens,OntoBiotope,000375
Microorganism,Haemophilus influenzae,NCBI_Taxonomy,727
Habitat,children attending a day care center,OntoBiotope,003188
Habitat,day care center,OntoBiotope,000403
Microorganism,Haemophilus influenzae,NCBI_Taxonomy,727
Microorganism,NTHi,NCBI_Taxonomy,727
Habitat,throats of two healthy children,OntoBiotope,000918
Habitat,healthy children,OntoBiotope,003188
Habitat,healthy children,OntoBiotope,002712
Microorganism,NTHi,NCBI_Taxonomy,727
Microorganism,NTHi,NCBI_Taxonomy,727
Habitat,colonized children,OntoBiotope,003188
Habitat,colonized children,OntoBiotope,002712
Habitat,large yellow croaker,OntoBiotope,003264
Habitat,Pseudosciaena crocea,OntoBiotope,003264
Habitat,large yellow croaker,OntoBiotope,003264
Habitat,Pseudosciaena crocea,OntoBiotope,003264
Habitat,spleen,OntoBiotope,000890
Habitat,muscle,OntoBiotope,001226
Phenotype,Gram-negative,OntoBiotope,000648
Microorganism,Vibrio parahaemolyticus,NCBI_Taxonomy,670
Habitat,blood,OntoBiotope,000521
Habitat,spleen,OntoBiotope,000890
Habitat,liver,OntoBiotope,002725
Habitat,spleen,OntoBiotope,000890
Habitat,liver,OntoBiotope,002725
Habitat,mammals,OntoBiotope,001625
Habitat,large yellow croaker,OntoBiotope,003264
Phenotype,pathogenic,OntoBiotope,002669
Microorganism,Staphylococcus,NCBI_Taxonomy,1279
Habitat,biofilms,OntoBiotope,000054
Microorganism,Staphylococcus,NCBI_Taxonomy,1279
Habitat,medical devices,OntoBiotope,000108
Habitat,Biomaterial,OntoBiotope,000108
Microorganism,Staphylococcus epidermidis,NCBI_Taxonomy,1282
Microorganism,Staphylococcus aureus,NCBI_Taxonomy,1280
Phenotype,development of a biofilm,OntoBiotope,001444
Habitat,biofilm,OntoBiotope,000054
Habitat,host immune system,OntoBiotope,000321
Microorganism,S. aureus,NCBI_Taxonomy,1280
Microorganism,S. epidermidis,NCBI_Taxonomy,1282
Habitat,biofilm,OntoBiotope,000054
Phenotype,biofilm development,OntoBiotope,001444
Habitat,biofilm,OntoBiotope,000054
Phenotype,biofilm formation,OntoBiotope,001444
Habitat,established mature biofilms,OntoBiotope,000054
Phenotype,pathogens,OntoBiotope,000375
Phenotype,susceptibility to antibiotics,OntoBiotope,002675
Habitat,hematology ward,OntoBiotope,000097
Phenotype,pathogens,OntoBiotope,000375
Habitat,hematological ward,OntoBiotope,000097
Habitat,patients received chemotherapy,OntoBiotope,003220
Phenotype,pathogens,OntoBiotope,000375
Habitat,blood of patients who accepted chemotherapy,OntoBiotope,000521
Habitat,urine of patients who accepted chemotherapy,OntoBiotope,001367
Habitat,sputum of patients who accepted chemotherapy,OntoBiotope,001335
Habitat,patients who accepted chemotherapy,OntoBiotope,003220
Phenotype,Gram-negative,OntoBiotope,000648
Habitat,nosocomial,OntoBiotope,000011
Microorganism,Pseudomonas aeruginosa,NCBI_Taxonomy,287
Microorganism,Enterobacter cloacae,NCBI_Taxonomy,550
Microorganism,E. coli,NCBI_Taxonomy,110766
Phenotype,Gram negative,OntoBiotope,000648
Phenotype,resistant to broad-spectrum penicillin,OntoBiotope,002829
Microorganism,Acinetobacter baumannii,NCBI_Taxonomy,470
Phenotype,gram positive,OntoBiotope,000649
Microorganism,Enterococcus,NCBI_Taxonomy,1350
Microorganism,Candida,NCBI_Taxonomy,1535326
Microorganism,Enterococcus,NCBI_Taxonomy,1350
